Código;Data;Valor;Cliente;Vendedor;N. Fiscal;Dispositivo;Status
12;2023-02-01T23:24:16.341Z;131;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
10;2023-02-02T23:20:50.331Z;58;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
11;2023-02-03T23:22:25.070Z;164;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
1;2023-02-04T01:56:12.535Z;35;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
2;2023-02-04T02:25:53.259Z;24;Arthur;EMPRESA;0;dee87bcd7be1541e;Cancelada
3;2023-02-04T16:03:00.000Z;76;SEM CLIENTE;EMPRESA;0;50026B738184AF95;Cancelada
4;2023-02-04T17:28:11.758Z;171;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
5;2023-02-04T17:50:38.205Z;77;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
6;2023-02-04T18:19:33.684Z;56;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
7;2023-02-04T23:45:44.843Z;74;Arthur;EMPRESA;0;dee87bcd7be1541e;Cancelada
8;2023-02-07T23:54:45.271Z;114;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
9;2023-02-08T23:03:48.196Z;56;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Cancelada
13;2023-02-08T23:32:57.745Z;56;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
14;2023-02-08T23:34:20.766Z;56;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
15;2023-02-10T02:06:33.986Z;150;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
16;2023-02-11T01:03:50.700Z;183;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
24;2023-02-11T21:00:01.871Z;401.43;SEM CLIENTE;VENDA DIRETA;0;dee87bcd7be1541e;Finalizada
17;2023-02-15T02:46:14.443Z;75;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
18;2023-02-16T04:09:41.043Z;90;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
19;2023-02-17T01:57:13.787Z;113;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
20;2023-02-18T01:03:11.375Z;191;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
21;2023-02-23T22:38:42.453Z;49;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
22;2023-02-24T22:28:04.873Z;172;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
23;2023-02-28T01:02:36.532Z;234.32;SEM CLIENTE;VENDA DIRETA;0;dee87bcd7be1541e;Finalizada
25;2023-02-28T22:59:52.688Z;57;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
26;2023-03-01T21:36:12.183Z;82;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
27;2023-03-04T00:50:48.821Z;188;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
28;2023-03-05T01:45:33.898Z;406.01;SEM CLIENTE;VENDA DIRETA;0;8af3babecf827961;Finalizada
29;2023-03-07T23:28:27.530Z;83;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
30;2023-03-09T23:21:58.112Z;70;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
31;2023-03-10T21:36:48.201Z;167;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
32;2023-03-11T17:00:32.120Z;371.25;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
33;2023-03-15T21:30:48.635Z;181.35;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
34;2023-03-17T01:59:36.975Z;103;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
35;2023-03-18T02:53:07.158Z;230;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
46;2023-03-18T21:00:34.507Z;582.43;SEM CLIENTE;VENDA DIRETA;0;dee87bcd7be1541e;Finalizada
40;2023-03-21T21:00:36.916Z;128;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
41;2023-03-22T21:00:37.988Z;258.44;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
42;2023-03-23T21:00:02.428Z;72;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
43;2023-03-24T21:00:08.293Z;213;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
36;2023-03-26T01:14:05.494Z;84;SEM CLIENTE;VENDA DIRETA;0;8af3babecf827961;Finalizada
37;2023-03-26T01:17:36.381Z;48;SEM CLIENTE;VENDA DIRETA;0;8af3babecf827961;Finalizada
38;2023-03-29T00:21:50.799Z;154;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
44;2023-03-29T21:00:29.503Z;63;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
39;2023-03-30T23:18:20.029Z;97;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
45;2023-03-31T20:00:20.442Z;203;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
48;2023-04-01T15:00:03.664Z;244.01;SEM CLIENTE;VENDA DIRETA;0;dee87bcd7be1541e;Finalizada
49;2023-04-04T15:00:12.302Z;168;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
47;2023-04-05T02:25:34.620Z;154;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
50;2023-04-06T15:00:09.870Z;179;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
51;2023-04-06T15:00:22.765Z;179;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
52;2023-04-08T15:00:23.905Z;146;SEM CLIENTE;VENDA DIRETA;0;dee87bcd7be1541e;Finalizada
53;2023-04-11T21:00:20.693Z;92;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
54;2023-04-12T23:25:37.553Z;87;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
55;2023-04-14T01:14:30.326Z;50;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
56;2023-04-15T00:46:00.000Z;171;SEM CLIENTE;EMPRESA;0;50026B738184AF95;Finalizada
57;2023-04-15T20:29:00.000Z;218;SEM CLIENTE;EMPRESA;0;50026B738184AF95;Finalizada
58;2023-04-19T21:00:22.965Z;132;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
61;2023-04-20T21:00:05.187Z;181;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
59;2023-04-20T21:00:54.144Z;181;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
69;2023-04-21T13:59:58.971Z;490;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
70;2023-04-21T14:01:04.436Z;37;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
62;2023-04-21T21:25:49.872Z;659;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Cancelada
68;2023-04-21T21:59:01.328Z;132;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
63;2023-04-25T21:26:48.095Z;59;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
66;2023-04-26T21:53:09.682Z;42;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
64;2023-04-29T21:32:00.823Z;264;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
67;2023-04-30T13:54:35.323Z;150;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
71;2023-05-02T21:00:44.828Z;106;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
72;2023-05-02T21:00:55.745Z;60;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
74;2023-05-03T20:00:42.423Z;137;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
73;2023-05-03T21:00:05.702Z;60;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
75;2023-05-04T21:00:50.240Z;108;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
76;2023-05-05T21:00:05.820Z;154;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
77;2023-05-06T21:00:16.446Z;257.36;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
65;2023-05-07T13:38:28.317Z;150;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Cancelada
78;2023-05-09T21:00:37.931Z;76;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
80;2023-05-10T21:00:19.028Z;92;SEM CLIENTE;EVENTOS;0;dee87bcd7be1541e;Finalizada
79;2023-05-10T21:00:31.972Z;171;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
81;2023-05-11T21:00:06.283Z;111;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
82;2023-05-12T21:00:13.892Z;197;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
83;2023-05-16T21:00:37.912Z;108;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
84;2023-06-01T22:58:35.579Z;110;SEM CLIENTE;EMPRESA;0;8af3babecf827961;Finalizada
85;2023-07-22T05:25:11.244Z;80;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
86;2023-09-05T13:35:05.358Z;35;SEM CLIENTE;EMPRESA;0;dee87bcd7be1541e;Finalizada
